"package","fun","location","scale","shape","fit","argdata","outputS4","outputS3","outputS3par","dfun","pfun","version"
"climextRemes",NA,"location","scale","shape","fit_gev","y",NA,"mle",NA,NA,NA,"0.2.2"
"evd","gev","loc","scale","shape","fgev","x",NA,"estimate",NA,"dgev","pgev","2.3.3"
"evir","gev","mu","sigma","xi","gev","data",NA,"par.ests",NA,"dgev","pgev","1.7.4"
"extraDistr","gev","mu","sigma","xi",NA,NA,NA,NA,NA,"dgev","pgev","1.9.1"
"extRemes","evd","loc","scale","shape","fevd","x",NA,"results","par","devd","pevd","2.1.1"
"fExtremes","gev","mu","beta","xi","gevFit","x","fit","par.ests",NA,"dgev","pgev","3042.82"
"ismev",NA,NA,NA,NA,"gev.fit","xdat",NA,"mle",NA,NA,NA,"1.42"
"lmomco","gev","xi","alpha","kappa",NA,NA,NA,NA,NA,"pdfgev","cdfgev","2.3.7"
"QRM","GEV","mu","sigma","xi","fit.GEV","maxima",NA,"par.ests",NA,"dGEV","pGEV","0.4.31"
"revdbayes","gev","loc","scale","shape",NA,NA,NA,NA,NA,"dgev","pgev","1.3.9"
"SpatialExtremes","gev","loc","scale","shape","gevmle","x",NA,NA,NA,"dgev","pgev","2.0.9"
"texmex","gev","mu","sigma","xi","evm","y",NA,"coefficients",NA,"dgev","pgev","2.4.8"
"TLMoments","gev","loc","scale","shape",NA,NA,NA,NA,NA,"dgev","pgev","0.7.5.2"
"mev",NA,"loc","scale","shape","fit.gev","xdat",NA,"param",NA,NA,NA,"1.14"
"qrmtools","GEV","loc","scale","shape","fit_GEV_MLE","x",NA,"par",NA,"dGEV","pGEV","0.0.14"
"EnvStats","gevd","location","scale","shape","egevd","x",NA,"parameters",NA,"dgevd","pgevd","2.6.0"
"ExtremalDep","GEV","loc","scale","shape","fGEV","data",NA,"est",NA,"dGEV","pGEV","0.0.4-0" 	
